id,rank,workers,company,state,state,city,metro,growth,revenue,industry,yrs_on_list
24957,174,325,CenseoHealth,Texas,TX,Dallas,Dallas,2406.9499,117230240,Health,1
26180,175,270,3A/WorldWide,Florida,FL,Miami,Miami,2402.7683,57568000,Advertising & Marketing,1
25374,176,90,180Fusion,California,CA,Los Angeles,Los Angeles,2379.1819,6662008,Advertising & Marketing,1
25065,177,47,Kamis,Maryland,MD,Gaithersburg,Washington DC,2368.9874,3058705,IT Services,1
26239,178,35,Apex Controls,Georgia,GA,McDonough,Atlanta,2360.0708,7789273,Energy,1
25141,179,16,InkSoft,New Mexico,NM,Albuquerque,Albuquerque NM,2347.731,2488706,Software,1
25603,180,19,Futurewave Systems,Georgia,GA,Atlanta,Atlanta,2342.899,2768000,IT Services,1
25765,181,20,6 Pack Fitness,California,CA,San Francisco,San Francisco,2336.4112,6310305,Retail,1
26546,182,10,Genzum Life Sciences,California,CA,Los Angeles,Los Angeles,2333.3009,8561253,Health,1
24923,183,247,ProctorU,California,CA,Livermore,San Francisco,2312.1435,6435816,Education,1
26360,184,19,Dakenna Development,Florida,FL,Jacksonville,Jacksonville FL,2302.5208,8270918,Construction,1
25181,185,68,Duda,California,CA,Palo Alto,San Jose,2299.954,5532830,Software,1
25403,186,35,Holganix,Pennsylvania,PA,Glen Mills,Philadelphia,2291.3554,4306568,Environmental Services,1
25128,187,15,NITS Solutions,Michigan,MI,Novi,Detroit,2291.3176,2775411,IT Services,1
25869,188,18,Paramount Lodging Advisors,Illinois,IL,Chicago,,2288.3653,2465605,Real Estate,1
25783,189,35,EmazingLights,California,CA,Anaheim,Los Angeles,2281.335,5842010,Retail,1
26528,190,35,Level Interactive,Pennsylvania,PA,Pittsburgh,Pittsburgh PA,2258.7014,11958616,Advertising & Marketing,1
26255,191,75,shopkick,California,CA,Redwood City,San Francisco,2250.0409,26319118,Retail,1
25486,192,129,TekWissen,Michigan,MI,Ann Arbor,Ann Arbor MI,2236.1753,7802802,IT Services,1
25501,193,15,VPCinnovations,Wisconsin,WI,Mount Pleasant,Chicago,2234.3619,5390952,Computer Hardware,1
25433,194,42,Clean Energy Collective,Colorado,CO,Boulder,Boulder CO,2216.9118,9453000,Energy,1
26030,195,13,Silver Bullet Construction,Texas,TX,Dalworthington Garden,Dallas,2215.5963,2524000,Construction,1
26326,196,48,Aegis Corps,Virginia,VA,Chantilly,Washington DC,2208.3868,2900488,Government Services,1
22899,197,300,uBreakiFix,Florida,FL,Orlando,Orlando FL,2188.8349,26472870,Retail,2
25037,198,302,Culture.Service.Growth.,Texas,TX,San Antonio,San Antonio TX,2182.0898,7993065,Business Products & Services,1
21023,199,72,CardCash.com,New Jersey,NJ,Brick,New York City,2181.7178,55788000,Consumer Products & Services,3
26083,200,450,Protein Bar,Illinois,IL,Chicago,Chicago,2181.6917,14211083,Food & Beverage,1
