Rank,Company,Growth,Industry,Revenue ($M),State,City,Metro,Times on List
396,UpNest,"1,152%",Real Estate,10.06,California,Burlingame,San Francisco,2
397,Double Wood,"1,147%",Health,6.91,Pennsylvania,Philadelphia,Philadelphia,1
398,Van Law Firm,"1,147%",Consumer Products & Services,3.02,Nevada,Las Vegas,Las Vegas,1
399,Mobile Text Alerts,"1,144%",Software,2.79,Nebraska,Lincoln,"Lincoln,NE",1
400,Apogee Stores,"1,142%",Retail,5.43,Illinois,Chicago,Chicago,1
401,New Credit America,"1,142%",Financial Services,15.45,Oregon,Portland,Portland,1
402,Bore Tech Utilities,"1,137%",Government Services,9.54,Florida,Miami,Miami,2
403,Anna Marie Events,"1,136%",Business Products & Services,4.15,California,San Francisco,San Francisco,1
404,Pattern,"1,133%",Advertising & Marketing,211.21,Utah,Lehi,Provo,1
405,Advanced Operations Partners,"1,131%",Business Products & Services,24.01,Texas,San Antonio,San Antonio,1
406,Newline Interactive,"1,128%",Computer Hardware,32.67,Texas,Plano,Dallas,3
407,Groove,"1,121%",Software,3.61,California,San Francisco,San Francisco,1
408,G2,"1,115%",Software,21.46,Illinois,Chicago,Chicago,1
409,Lean Staffing Solutions,"1,113%",Human Resources,5.61,Florida,Coral Springs,Miami,1
410,Vigene Biosciences,"1,112%",Health,11.59,Maryland,Rockville,"Washington,DC",2
411,Pitisci & Associates,"1,111%",IT Management,8.82,Florida,Tampa,Tampa,1
412,CouponCause.com,"1,108%",Advertising & Marketing,7.14,California,Topanga,Los Angeles,1
413,Arrive Logistics,"1,107%",Logistics & Transportation,368.64,Texas,Austin,Austin,1
414,Integrity Cargo Solutions,"1,107%",Logistics & Transportation,5.52,California,Cerritos,Los Angeles,1
415,Wireless Everywhere,"1,103%",Telecommunications,2.77,Washington DC,Washington,"Washington,DC",1
416,Audiencex,"1,103%",Advertising & Marketing,13.95,California,Marina del Rey,Los Angeles,1
417,SOCi,"1,097%",Advertising & Marketing,8.76,California,San Diego,San Diego,2
418,Advanced Architectural Products,"1,095%",Construction,15.82,Michigan,Allegan,"Holland-Grand Haven,MI",1
419,Proper Media,"1,093%",Advertising & Marketing,35.90,California,San Diego,San Diego,2
420,Dispatch Technologies,"1,093%",Business Products & Services,7.02,Massachusetts,Boston,Boston,1
421,Kisi Security,"1,093%",Security,2.82,New York,Brooklyn,New York,2
422,BridgeTech,"1,091%",IT Management,2.02,Oregon,Portland,Portland,1
423,Boomerang Transportation,"1,086%",Logistics & Transportation,6.91,Florida,Tampa,Tampa,1
424,E&M Technologies,"1,083%",Government Services,9.75,Virginia,Reston,"Colorado Springs,CO",1
425,Advertise Purple,"1,075%",Advertising & Marketing,6.46,California,Santa Monica,Los Angeles,2
426,Spike Brewing Equipment,"1,074%",Manufacturing,5.37,Wisconsin,Milwaukee,Milwaukee,1
427,Pathway Vet Alliance,"1,065%",Health,374.18,Texas,Austin,Austin,2
428,BAILEY'S BLOSSOMS,"1,056%",Retail,5.95,Texas,Aurora,Dallas,2
429,Simple Technology Solutions,"1,052%",IT System Development,5.20,Washington DC,Washington,"Washington,DC",1
430,SkyRun Breckenridge,"1,047%",Travel & Hospitality,4.33,Colorado,Breckenridge,"Breckenridge,CO",1
431,Clean Juice,"1,047%",Retail,4.94,North Carolina,Charlotte,Charlotte,1
432,InGenius Prep,"1,047%",Education,8.56,Connecticut,New Haven,"New Haven-Milford,CT",2
433,Aysco Technology Integration,"1,046%",Security,20.38,Ohio,kent,"Akron,OH",1
