Rank,Company,Growth,Industry,Revenue ($M),State,City,Metro,Times on List
2472,Shelter Co.,160%,Travel & Hospitality,3.77,California,San Francisco,San Francisco,1
2473,Afters Ice Cream,160%,Food & Beverage,10.80,California,Huntington Beach,Los Angeles,1
2474,Passage Technology,160%,Software,3.87,Illinois,Lake Forest,Chicago,3
2475,The Westport Group,160%,Insurance,15.23,Massachusetts,Braintree,Boston,4
2476,Stirista,160%,Advertising & Marketing,7.12,Texas,San Antonio,San Antonio,2
2477,Silver Lining Design Group,159%,Travel & Hospitality,4.97,Maryland,Rockville,"Washington,DC",1
2478,BCS CallProcessing,159%,IT Management,12.66,Massachusetts,Rockland,Boston,2
2479,vTech Solution,159%,Government Services,10.21,Washington DC,Washington,"Washington,DC",5
2480,Orbit Logic,159%,Software,10.29,Maryland,Greenbelt,"Washington,DC",6
2481,Creative Works,159%,Business Products & Services,19.23,Indiana,Mooresville,Indianapolis,2
2482,AXI International Corp.,159%,Manufacturing,9.56,Florida,Fort Myers,Cape Coral,1
2483,Architecture Design Collaborative,159%,Engineering,7.07,California,Laguna Hills,Los Angeles,2
2484,SellerCloud,159%,Software,6.27,New Jersey,Lakewood,New York,4
2485,Koya Leadership Partners,159%,Human Resources,14.88,Massachusetts,Newburyport,Boston,2
2486,Mike's Metal Works,158%,Construction,6.04,California,Jamul,San Diego,2
2487,New Breed Marketing,158%,Advertising & Marketing,5.21,Vermont,Winooski,Burlington,1
2488,Superior Fireworks,158%,Retail,5.34,Florida,Orange Park,Jacksonville,4
2489,Sweet Peach Wax & Sugaring Studio,158%,Consumer Products & Services,2.46,Georgia,Atlanta,Atlanta,3
2490,Injured Gadgets,158%,Business Products & Services,23.43,Georgia,NORCROSS,Atlanta,2
2491,Lake Homes Realty,158%,Real Estate,14.43,Alabama,Hoover,Birmingham,3
2492,Good Life Companies,158%,Financial Services,16.71,Pennsylvania,Reading,"Reading,PA",1
2493,Mavice,158%,Software,15.66,California,Santa Monica,Los Angeles,5
2494,Amstill Roofing,158%,Construction,5.43,Texas,Houston,Houston,1
2495,Chantel Ray Real Estate,158%,Real Estate,10.60,Virginia,Virginia Beach,Virginia Beach,6
2496,Pinpoint Payments,158%,Financial Services,4.31,New York,Fresh Meadows,New York,2
2497,On the Map Marketing,158%,Advertising & Marketing,4.11,Florida,Miami,Miami,3
2498,AcctTwo Shared Services,158%,Financial Services,14.31,Texas,Houston,Houston,4
2499,WNA Engineering,158%,Engineering,2.75,Pennsylvania,Portersville,Pittsburgh,1
2500,The Basement,157%,Advertising & Marketing,11.14,Indiana,Indianapolis,Indianapolis,5
2501,Georgetown Home Care,157%,Health,5.66,Washington DC,Washington,"Washington,DC",1
2502,Foster Crown,157%,Health,2.12,Wisconsin,Delafield,Milwaukee,1
2503,Green Star Exteriors,157%,Construction,10.28,Pennsylvania,Holmes,Philadelphia,2
2504,Soundhouse Rentals,157%,Business Products & Services,2.88,New York,Brooklyn,New York,2
2505,HBR Consulting,157%,Business Products & Services,70.79,Illinois,Chicago,Chicago,1
2506,WebPT,157%,Software,80.51,Arizona,Phoenix,Phoenix,7
2507,Blue Wheel Media,157%,Advertising & Marketing,3.14,Michigan,Birmingham,Detroit,1
2508,Bullseye Strategy,157%,Advertising & Marketing,3.91,Florida,Ft. Lauderdale,Miami,1
2509,Canvs,157%,Software,3.74,New York,New York City,New York,1
2510,Anders Group,157%,Health,18.23,Texas,Irving,Dallas,1
2511,Michael Hyatt & Company,157%,Business Products & Services,13.70,Tennessee,Franklin,Nashville,3
2512,Exponential Property Group,157%,Real Estate,40.43,Texas,Southlake,Dallas,1
2513,GP Flooring Solutions,157%,Construction,15.42,New York,Rochester,Rochester,1
2514,Belay,157%,Business Products & Services,20.41,Georgia,Atlanta,Atlanta,3
2515,Bushel (formerly Myriad Mobile),157%,Software,6.24,North Dakota,Fargo,"Fargo-ND,MN",4
2516,ShayCore Enterprises,157%,Construction,27.98,Florida,Jacksonville,Jacksonville,5
2517,Orases,157%,Software,4.15,Maryland,Frederick,"Washington,DC",2
2518,ZMAC Transportation,157%,Logistics & Transportation,32.02,Wisconsin,Racine,"Racine,WI",4
2519,CVP (Customer Value Partners),156%,IT System Development,74.11,Virginia,Fairfax,"Washington,DC",9
2520,Quicklotz Liquidations,156%,Retail,2.78,North Carolina,Rutherfordton,"Forest City,NC",1
2521,LinkedSelling,156%,Advertising & Marketing,6.35,Missouri,St Louis,St. Louis,4
2522,Kajabi,156%,Software,18.17,California,Irvine,Los Angeles,5
2523,Karsun Solutions,156%,IT System Development,57.62,Virginia,Herndon,"Washington,DC",5
2524,STP Investment Services,156%,Financial Services,12.58,Pennsylvania,West Chester,Philadelphia,2
2525,Less Annoying Software,156%,Software,2.10,Missouri,St. Louis,St. Louis,1
2526,keono,156%,Advertising & Marketing,8.62,Illinois,elmhurst,Chicago,4
2527,BisonOffice,156%,Retail,43.77,Illinois,North Riverside,Chicago,3
2528,Sullivan Engineering,155%,Engineering,4.84,New York,New York,New York,3
2529,Aspirent,155%,IT Management,15.55,Georgia,Atlanta,Atlanta,4
2530,Material Handling Services,155%,Business Products & Services,694.43,Ohio,Perrysburg,"Toledo,OH",6
2531,Clutch Holdings,155%,Software,14.21,Pennsylvania,Ambler,Philadelphia,3
2532,SkyVerge,155%,Software,3.78,Pennsylvania,King of Prussia,"Reading,PA",2
2533,Bell Media,155%,Advertising & Marketing,9.11,Alabama,Birmingham,Birmingham,5
2534,Eligo Energy,155%,Energy,82.62,Illinois,Chicago,Chicago,3
2535,Nuventra Pharma Sciences,155%,Health,15.56,North Carolina,Durham,"Durham-Chapel Hill,NC",6
2536,Atlantic Blue Water Services,155%,Consumer Products & Services,3.81,Maryland,Westminster,Baltimore,2
2537,Skyword,155%,Advertising & Marketing,24.89,Massachusetts,Boston,Boston,2
2538,Executech,155%,IT Management,26.69,Utah,South Jordan,Salt Lake City,7
2539,Ultimate Jet Vacations,155%,Travel & Hospitality,44.42,Florida,Aventura,Miami,4
2540,Surdi Enterprise,154%,Consumer Products & Services,3.81,Washington,WOODINVILLE,Seattle,2
2541,Clearent,154%,Financial Services,407.99,Missouri,Clayton,St. Louis,8
2542,A Head For Profits,154%,Business Products & Services,8.87,Tennessee,Nashville,Nashville,1
2543,Health Carousel,154%,Health,214.10,Ohio,Cincinnati,Cincinnati,4
2544,RR Appliance Services,154%,Consumer Products & Services,2.45,Florida,Hialeah,Miami,1
2545,PCI Group,154%,Business Products & Services,52.34,South Carolina,Fort Mill,Charlotte,4
2546,Eclipse Brand Builders,154%,Business Products & Services,9.79,Georgia,Suwanee,Atlanta,2
2547,Northern Planet,154%,Retail,3.49,Oregon,Beaverton,Portland,2
2548,AdTheorent,154%,Advertising & Marketing,106.88,New York,New York,New York,5
2549,Career Start,154%,Human Resources,26.00,New York,Rochester,Rochester,3
2550,Mid America Logistics,154%,Logistics & Transportation,113.02,Missouri,Fenton,St. Louis,4
2551,Roz Marketing Group,154%,Business Products & Services,2.47,California,Studio City,Los Angeles,1
2552,GRSi,154%,Government Services,53.43,Maryland,Frederick,"Washington,DC",5
2553,Creative Marketing Resources,153%,Advertising & Marketing,4.20,Wisconsin,Milwaukee,Milwaukee,2
2554,Escalon Services,153%,Business Products & Services,15.07,California,Palo Alto,San Jose,2
2555,Franpos,153%,Software,2.39,California,Santa Clara,San Jose,1
2556,Tectonic Audio Labs,153%,Consumer Products & Services,4.42,Washington,Woodinville,Seattle,1
2557,JAX Refrigeration,153%,Construction,82.00,Florida,Jacksonville Beach,Jacksonville,3
2558,Tridiuum,153%,Software,5.02,Pennsylvania,Philadelphia,Philadelphia,1
2559,Human Element,153%,IT System Development,4.69,Michigan,Ann Arbor,Ann Arbor,3
2560,Integrhythm,153%,IT Management,8.29,Minnesota,Minneapolis,Minneapolis,3
2561,Cinergy Entertainment,153%,Food & Beverage,45.65,Texas,Dallas,Dallas,1
2562,CompassMSP,153%,IT Management,6.57,Florida,Jacksonville,Jacksonville,1
2563,Apps Solutions,153%,IT System Development,16.35,Michigan,TROY,Detroit,4
2564,Fatbeam,153%,Telecommunications,7.10,Idaho,Coeur D Alene,"Coeur d'Alene,ID",3
2565,demandDrive,153%,Advertising & Marketing,6.05,Massachusetts,Waltham,Boston,2
2566,Woodridge Advisors,153%,Software,2.41,Colorado,Golden,Denver,1
2567,Open Systems Healthcare,153%,Health,70.06,Pennsylvania,Philadelphia,Philadelphia,1
2568,Perfusion.com,153%,Health,25.39,Florida,Fort Myers,Cape Coral,1
2569,Diligent Corporation,153%,Software,250.86,New York,New York,New York,2
2570,Surefire Local,153%,Advertising & Marketing,10.61,Virginia,Vienna,"Washington,DC",6
2571,Capital Square 1031,153%,Real Estate,68.27,Virginia,Glen Allen,Richmond,3
2572,EBQuickstart,153%,Business Products & Services,17.77,Texas,Austin,Austin,6
2573,AgileThought,152%,IT System Development,73.28,Florida,Tampa,Tampa,12
2574,Paradyme Management,152%,IT Management,34.84,Maryland,Greenbelt,"Washington,DC",5
2575,JEAR Logistics,152%,Logistics & Transportation,107.78,South Carolina,Mt. Pleasant,Charleston,6
2576,Senture,152%,Government Services,96.99,Kentucky,London,"London,KY",3
2577,Med Tech Solutions,152%,IT Management,16.00,California,Valencia,Los Angeles,5
2578,Property Management,152%,Real Estate,5.57,Utah,Lehi,Provo,3
2579,Rang Technologies,152%,Human Resources,18.11,New Jersey,Piscataway,New York,3
2580,Barracuda Staffing,152%,Human Resources,7.29,Oklahoma,Tulsa,Tulsa,2
2581,The Surface Masters,152%,Construction,5.11,Georgia,Marietta,Atlanta,4
2582,Advanced Medical Integration,152%,Health,4.26,Florida,Clearwater,Tampa,2
2583,Anytime Flooring,151%,Construction,4.41,Louisiana,Baton Rouge,Baton Rouge,1
2584,The Kotter Group,151%,Telecommunications,3.96,Georgia,Lilburn,Atlanta,2
2585,Electrosoft Services,151%,Government Services,12.55,Virginia,Reston,"Washington,DC",6
2586,Myrtle Group,151%,Business Products & Services,24.67,Texas,Houston,Houston,4
2587,ReviewPush,151%,Software,2.46,Texas,Austin,Austin,2
2588,BuybackBoss.com,151%,Consumer Products & Services,3.09,Arizona,Tempe,Phoenix,2
2589,OceanTech,151%,Computer Hardware,7.79,Minnesota,Minneapolis,Minneapolis,4
2590,Fluidmesh Networks,151%,Software,17.39,New York,Brooklyn,New York,1
2591,Pegasus one,151%,IT System Development,2.32,California,Fullerton,Los Angeles,1
2592,Proforma Printing Systems,151%,Business Products & Services,2.27,California,Rancho Cucamonga,Inland Empire,1
2593,Solutions by Text,151%,Telecommunications,6.98,Texas,Dallas,Dallas,4
2594,Epiq,151%,Business Products & Services,"1,022.65",Georgia,Atlanta,Atlanta,12
2595,iQuanti,151%,Advertising & Marketing,14.61,New Jersey,Jersey City,New York,5
2596,The Lockwood Group,151%,Advertising & Marketing,50.87,Connecticut,Stamford,Bridgeport,3
2597,Sentinel Sales & Management,150%,Real Estate,14.10,Utah,American Fork,Provo,3
2598,Caliber The Wealth Development Company,150%,Real Estate,86.73,Arizona,Scottsdale,Phoenix,6
2599,Chair 10 Marketing,150%,Advertising & Marketing,2.42,Washington,Seattle,Seattle,2
2600,Trinity Multifamily,150%,Real Estate,5.59,Arkansas,Fort Smith,"Fort Smith-AR,OK",2
2601,Edgewater Federal Solutions,150%,IT Management,19.36,Maryland,Ijamsville,"Washington,DC",1
2602,Lamb Insurance Services,150%,Insurance,17.71,New York,New York,New York,2
2603,YourMechanic,150%,Business Products & Services,19.84,California,Mountain View,San Jose,1
2604,Criteria (Los Angeles-CA),150%,Software,9.35,California,West Hollywood,Los Angeles,5
2605,Patra,150%,Insurance,42.20,California,El Dorado Hills,Sacramento,3
2606,Project Repat,150%,Consumer Products & Services,9.14,Massachusetts,Somerville,Boston,3
2607,Capitol Home Health,150%,Health,22.22,Texas,Austin,Austin,4
2608,Raare Solutions,149%,Business Products & Services,2.53,New Jersey,Woodcliff Lake,New York,2
2609,Supplies Now,149%,Business Products & Services,15.00,Florida,Greenacres,Miami,2
2610,Nelson Construction and Renovations,149%,Construction,4.92,Florida,Clearwater,Tampa,1
2611,MomentFeed,149%,Software,17.75,California,Santa Monica,Los Angeles,2
2612,Cutting Edge Services,149%,Business Products & Services,18.12,Idaho,Boise,Boise City,1
2613,Chhabra Enterprises,149%,Business Products & Services,5.65,Missouri,Saint Louis,St. Louis,2
2614,Pless Security Incorporated,149%,Security,2.50,Georgia,Marietta,Atlanta,1
2615,Park Place Technologies,149%,IT Management,218.44,Ohio,Mayfield Heights,Cleveland,7
2616,Tin Roof Software,149%,Software,28.03,Georgia,Atlanta,Atlanta,1
2617,Netrush,149%,Retail,147.48,Washington,Vancouver,Portland,4
2618,OnPrem Solution Partners,149%,Business Products & Services,37.67,California,Manhattan Beach,Los Angeles,3
2619,ManhattanTechSupport.com,149%,IT Management,4.49,New York,New York,New York,1
2620,Bayless Integrated Healthcare,148%,Health,15.69,Arizona,Phoenix,Phoenix,2
2621,HydroFloTech,148%,Manufacturing,4.04,Illinois,Elgin,Chicago,1
2622,A Plus Garage Doors,148%,Consumer Products & Services,8.88,Utah,Sandy,Salt Lake City,1
2623,Collision Works,148%,Consumer Products & Services,39.57,Oklahoma,Del City,Oklahoma City,2
2624,Summit CPA Group,148%,Financial Services,4.38,Indiana,Fort Wayne,"Fort Wayne,IN",3
2625,ThreatConnect,148%,Security,23.33,Virginia,Arlington,"Washington,DC",2
2626,Fully Accountable,148%,Financial Services,2.35,Ohio,Fairlawn,"Akron,OH",1
2627,TargetPath,148%,Business Products & Services,5.85,Oregon,Wilsonville,Portland,1
2628,McCabe Construction Company,148%,Construction,12.22,Tennessee,Memphis,Memphis,1
2629,Material Handling Systems,148%,Engineering,733.74,Kentucky,Mt Washington,Louisville,1
2630,Specialist ID,148%,Security,7.16,Florida,Miami,Miami,5
2631,EnableComp,148%,Insurance,24.41,Tennessee,Franklin,Nashville,6
2632,Incedo,148%,IT Management,68.37,California,CA,San Jose,4
2633,One Stop Equine Shop,148%,Retail,21.42,Illinois,Glenview Nas,Chicago,5
2634,Key Credit Repair,148%,Financial Services,5.03,Massachusetts,Boston,Boston,4
2635,Your Wealth Effect,148%,Financial Services,2.05,California,Santa Ana,Los Angeles,1
2636,Affordable Luxury Group,148%,Consumer Products & Services,20.06,New York,New York,New York,2
2637,Brookstone Restoration,148%,Construction,5.99,Alabama,Bessemer,Birmingham,1
2638,Avatria,148%,Software,4.31,Illinois,Chicago,Chicago,1
2639,Bevara Building Services,148%,Business Products & Services,14.52,Wisconsin,Pewaukee,Milwaukee,3
2640,United Solutions,147%,IT System Development,8.44,Maryland,Rockville,"Washington,DC",2
2641,Ecosystem Planning and Restoration,147%,Environmental Services,5.87,Texas,TOMBALL,Houston,3
2642,Team Fitz Graphics,147%,Manufacturing,3.33,Ohio,Cincinnati,Cincinnati,2
2643,TalentBridge,147%,Human Resources,80.70,New York,Rochester,Rochester,2
2644,Romulus Marketing,147%,Advertising & Marketing,6.94,Georgia,Dallas,Atlanta,1
2645,Restore Rehab Services,147%,Health,4.72,Texas,Houston,Houston,1
2646,Murray Resources,147%,Human Resources,13.70,Texas,Houston,Houston,6
2647,VOX DJs,147%,Consumer Products & Services,4.95,California,Torrance,Los Angeles,3
2648,RGD,147%,Engineering,6.94,Florida,Jupiter,Miami,1
2649,BOS Staffing,147%,Human Resources,2.11,Georgia,athens,"Athens-Clarke County,GA",6
2650,Becker's Healthcare,147%,Media,30.53,Illinois,Chicago,Chicago,1
2651,Elite Roofing,147%,Construction,15.97,Colorado,Denver,Denver,2
2652,BlackTree Heathcare Consulting,147%,Health,17.35,Pennsylvania,Conshohocken,Philadelphia,4
2653,The Neiders Company,147%,Real Estate,44.89,Washington,Seattle,Seattle,4
2654,SellYourMac.com,146%,Consumer Products & Services,10.95,Ohio,Blue Ash,Cincinnati,2
2655,Tech Americas USA,146%,IT Management,5.90,Texas,Katy,Houston,2
2656,Fortis Construction,146%,Construction,"1,155.61",Oregon,Portland,Portland,11
2657,NPD Logistics,146%,Logistics & Transportation,5.28,New Jersey,Newark,New York,2
2658,Net2Source,146%,Human Resources,52.77,New Jersey,NJ,New York,6
2659,ProTitleUSA,146%,Real Estate,10.24,Pennsylvania,Southampton,Philadelphia,5
2660,Grover Gaming,146%,Software,22.01,North Carolina,Greenville,"Greenville,NC",1
2661,Adwerx,146%,Advertising & Marketing,25.78,North Carolina,Durham,"Durham-Chapel Hill,NC",3
2662,UserTesting,146%,Software,56.36,California,San Francisco,San Francisco,1
2663,HumanN,146%,Health,43.33,Texas,Austin,Austin,5
2664,O.P.E.N. America,145%,Business Products & Services,68.22,Arizona,Phoenix,Phoenix,1
2665,Joorney Business Plans,145%,Business Products & Services,2.37,Florida,MIAMI BEACH,Miami,2
2666,Pyure Brands,145%,Food & Beverage,22.34,Florida,Naples,"Naples-Marco Island,FL",4
2667,TruQua Enterprises,145%,Business Products & Services,13.55,Illinois,Chicago,Chicago,2
2668,Food52,145%,Retail,27.65,New York,New York,New York,4
2669,Tallahassee Rock Real Estate,145%,Real Estate,3.44,Florida,Tallahassee,"Tallahassee,FL",1
2670,T. Parker Host,145%,Logistics & Transportation,95.68,Virginia,Norfolk,Virginia Beach,4
2671,BBQ Guy's Manufacturing,145%,Manufacturing,34.95,Louisiana,Baton Rouge,Baton Rouge,1
2672,Happy Trailer Sales,145%,Retail,23.23,Texas,Palmer,Dallas,2
2673,JMC Equipment,145%,Business Products & Services,3.73,New York,Bohemia,New York,2
2674,T3 Expo,145%,Business Products & Services,62.04,Massachusetts,Lakeville,Boston,5
2675,Downeast Cider House,145%,Food & Beverage,13.67,Massachusetts,East Boston,Boston,4
2676,Syntelligent Analytic Solutions,145%,Government Services,3.79,Virginia,Falls Church,"Washington,DC",3
2677,Deep Blue Communications,145%,IT Management,33.01,New York,Latham,Albany,8
2678,Test Double,145%,Software,9.82,Ohio,Westerville,Columbus,4
2679,GeBBS Healthcare Solutions,145%,Health,73.89,California,Culver City,Los Angeles,11
2680,Semcasting,145%,Advertising & Marketing,23.27,Massachusetts,North Andover,Boston,1
2681,Takeout Central,144%,Food & Beverage,10.95,North Carolina,Chapel Hill,"Durham-Chapel Hill,NC",2
2682,Mind Your Business,144%,Human Resources,7.48,North Carolina,Hendersonville,Asheville,2
2683,Bolt on Technology,144%,Software,7.80,Pennsylvania,Downingtown,Philadelphia,4
2684,Synapse Studios,144%,Software,4.16,Arizona,Tempe,Phoenix,1
2685,College Hunks Hauling Junk and Moving (Tampa-FL),144%,Consumer Products & Services,13.43,Florida,Tampa,Tampa,2
2686,Mansfield Crane Service,144%,Construction,9.53,Pennsylvania,Mansfield,"Mansfield,OH",2
2687,EmazingLights / iHeartRaves / Into the AM,144%,Consumer Products & Services,28.26,California,Anaheim,Los Angeles,6
2687,MDSL,144%,Software,59.02,Arizona,Phoenix,Phoenix,2
2688,Trintech,144%,Software,106.20,Texas,Addison,Dallas,1
2689,SomerTile,144%,Consumer Products & Services,30.20,New Jersey,Manalapan,New York,3
2690,B&B Heating and Air,143%,Construction,3.47,Alabama,Birmingham,Birmingham,3
2691,BCV Social,143%,Advertising & Marketing,10.89,Illinois,Chicago,Chicago,4
2692,Tricap Residential Group,143%,Real Estate,15.68,Illinois,Chicago,Chicago,1
2693,NetX Information Systems,143%,IT Management,17.77,New Jersey,Lambertville,New York,1
2694,Experion Technologies,143%,IT System Development,3.59,Texas,Addison,Dallas,2
2695,True Inspection Services,143%,Engineering,7.07,Ohio,Urbana,"Urbana,OH",3
2696,GotUwired,143%,Security,2.42,California,San Marcos,San Diego,2
2697,Master Medical Equipment,143%,Health,10.74,Tennessee,Jackson,"Jackson,TN",1
2698,Greenway Insurance,143%,Insurance,4.85,Texas,Houston,Houston,4
2699,Prolific Interactive,143%,Software,22.88,New York,Brooklyn,New York,4
2700,Berry Law Firm,143%,Consumer Products & Services,7.51,Nebraska,Lincoln,"Lincoln,NE",3
2701,Dealer World,143%,Advertising & Marketing,2.89,Pennsylvania,Lehighton,Allentown,1
2702,Marketing Doctor,143%,Advertising & Marketing,4.08,Massachusetts,Northampton,"Springfield,MA",1
2703,Petrelli Previtera-LLC,143%,Consumer Products & Services,2.66,Pennsylvania,Philadelphia,Philadelphia,1
2704,Modus Create,142%,Software,15.81,Virginia,Reston,"Washington,DC",5
2705,Miracle Mile Advisors,142%,Financial Services,9.18,California,Los Angeles,Los Angeles,1
2706,Elev8 Hire Solutions,142%,Human Resources,2.75,Georgia,Atlanta,Atlanta,1
2707,NCWC,142%,Advertising & Marketing,195.82,New Jersey,Ocean,New York,6
2708,Neal&Neal Team,142%,Real Estate,2.46,Texas,San Antonio,San Antonio,1
2709,A1C Partners,142%,Government Services,8.77,Maryland,Davidsonville,Baltimore,1
2710,Homeland Manufacturing Services,142%,Manufacturing,3.22,Pennsylvania,State College,"State College,PA",3
2711,inTech Trailers,142%,Manufacturing,35.26,Indiana,Nappanee,"Elkhart-Goshen,IN",1
2712,ALKU,142%,IT Services,205.65,Massachusetts,Andover,Boston,8
2713,Fit My Feet Orthotic Lab and Shoes,142%,Retail,2.22,South Dakota,Sioux Falls,"Sioux Falls,SD",1
2714,Instasize,142%,Software,14.40,Utah,Sandy,Salt Lake City,1
2715,Kahn Media,142%,Advertising & Marketing,3.03,California,Moorpark,Oxnard,2
2716,DoHardMoney.com,142%,Real Estate,6.03,Utah,West Jordan,Salt Lake City,2
2717,Appreciation Financial,142%,Financial Services,27.66,Nevada,Henderson,Las Vegas,2
2718,Monogram Windows and Doors,141%,Construction,29.37,Florida,Deerfield Beach,Miami,1
2719,New Vision,141%,Software,2.96,Minnesota,Bloomington,Minneapolis,1
2720,Biomedical Research Laboratories,141%,Consumer Products & Services,6.53,California,La Jolla,Philadelphia,5
2721,Cambria Solutions,141%,Government Services,35.90,California,Sacramento,Sacramento,8
2722,Kodiak Building Partners,141%,Construction,"1,120.99",Colorado,Highlands Ranch,Denver,2
2723,STS International,141%,Government Services,83.91,West Virginia,Berkeley Springs,"Hagerstown-Martinsburg-MD,WV",6
2724,Globo,141%,Business Products & Services,16.77,Pennsylvania,Wyncote,Philadelphia,5
2725,South Bay Hot Yoga,141%,Health,2.03,California,Hermosa Beach,Los Angeles,1
2726,Unity FI Solutions,141%,Software,8.59,North Carolina,Charlotte,Charlotte,2
2727,Skaled Consulting,141%,Business Products & Services,2.92,Texas,Austin,Austin,1
2728,The Network Pro,141%,IT Management,6.25,California,Fullerton,Los Angeles,3
2729,Aspen Exteriors,141%,Construction,17.94,Minnesota,Ramsey,Minneapolis,6
2730,Maxey Trailers Mfg.,141%,Manufacturing,40.37,Texas,Brookston,"Paris,TX",1
2731,Clark Bros.,140%,Construction,43.29,California,Fresno,"Fresno,CA",4
2732,Metro Stars Gymnastics,140%,Education,3.44,Nebraska,Omaha,Omaha,3
2733,Aerospace Quality Research and Development,140%,Engineering,9.57,Texas,Addison,Dallas,3
2734,Blink Fitness,140%,Consumer Products & Services,132.12,New York,New York,New York,3
2735,Digital Pi,140%,Advertising & Marketing,8.12,Texas,Dallas,Dallas,2
2736,Mobile Outfitters,140%,Consumer Products & Services,12.21,Pennsylvania,Philadephia,Philadelphia,5
2737,Threat Tec,140%,Government Services,12.35,Virginia,Hampton,Virginia Beach,1
2738,APS Payments,140%,Financial Services,11.31,Arizona,Mesa,Phoenix,3
2739,CS Recruiting,140%,Human Resources,5.51,Illinois,Highland Park,Chicago,5
2740,Feury Image Group,139%,Advertising & Marketing,16.22,New Jersey,Newark,New York,1
2741,LIDO ADVISORS,139%,Consumer Products & Services,14.34,California,Los Angeles,Los Angeles,2
2742,RNN Group,139%,Financial Services,9.35,Georgia,Atlanta,Atlanta,3
2743,TFS,139%,Construction,14.59,Tennessee,College Grove,Nashville,5
2744,Choice Merchant Solutions,139%,Financial Services,7.80,Connecticut,Hartford,"Hartford-West Hartford-East Hartford,CT",2
2745,All Pro Security,139%,Security,3.77,Utah,Pleasant Grove,Provo,1
2746,Streamline,139%,Real Estate,44.77,Pennsylvania,Philadelphia,Philadelphia,5
2747,Salas O'Brien,139%,Engineering,100.51,California,Santa Ana,Los Angeles,7
2749,Vinyl Me-Please,139%,Consumer Products & Services,12.37,Colorado,Denver,Denver,2
2750,Klein Hall CPAs,139%,Financial Services,4.74,Illinois,Aurora,Chicago,3
2751,Touchstone Merchandise Group,138%,Consumer Products & Services,44.32,Ohio,Mason,Cincinnati,1
2752,DEG,138%,Advertising & Marketing,63.83,Kansas,Overland Park,Kansas City,9
2753,Phobio,138%,Software,90.15,Georgia,Atlanta,Atlanta,2
2754,KitchenSearch.com,138%,Construction,3.56,Pennsylvania,Bensalem,Philadelphia,2
2755,Transportation Impact,138%,Logistics & Transportation,24.51,North Carolina,Emerald Isle,"Morehead City,NC",7
2756,Great Waters Financial,138%,Financial Services,9.26,Minnesota,Minneapolis,Minneapolis,3
2757,Turbonomic,138%,Software,97.06,Massachusetts,Boston,Boston,1
2758,FCM,138%,Business Products & Services,63.85,Ohio,Cincinnati,Cincinnati,1
2759,Momentum Solutionz,138%,IT System Development,5.26,Virginia,Roanoke,"Roanoke,VA",4
2760,Perceptyx,137%,Human Resources,24.82,California,Riverside,Inland Empire,4
2761,Info Way Solutions,137%,Human Resources,7.46,California,Fremont,San Francisco,1
2762,InterImage,137%,IT System Development,24.71,Virginia,Arlington,"Washington,DC",1
2763,VitalWare,137%,Health,14.02,Washington,Yakima,"Yakima,WA",5
2764,Tundraland Home Improvements,137%,Construction,42.26,Wisconsin,Kaukauna,"Appleton,WI",3
2765,RMG Media,137%,Advertising & Marketing,4.66,New York,New York,New York,1
2766,Coconut Condos,137%,Travel & Hospitality,4.17,Hawaii,Lahaina,"Kahului-Wailuku,HI",1
2767,PayDay Payroll Resources,137%,Business Products & Services,2.86,New Jersey,Bellmawr,Philadelphia,1
2768,Broadline Components,137%,Business Products & Services,2.61,Florida,St. Petersburg,Tampa,1
2769,Appogee,137%,Computer Hardware,19.41,North Carolina,Greenville,"Greenville,NC",1
2770,Prominent Construction,137%,Construction,5.47,Minnesota,Minneapolis,Minneapolis,1
2771,SEI-New York,137%,Business Products & Services,7.04,New York,New York,New York,2
2772,Cipher Tech Solutions,137%,Government Services,8.04,New York,Upper Nyack,New York,8
2773,Delta Solutions & Strategies,137%,Government Services,12.12,Colorado,Colorado Springs,"Colorado Springs,CO",6
2774,Applied Technology Services,136%,Government Services,27.11,Maryland,Middle River,Baltimore,2
2775,ZochNet,136%,Telecommunications,2.57,Texas,Giddings,-,1
2776,iTouchless.com,136%,Consumer Products & Services,14.56,California,San Mateo,San Francisco,1
2777,Rain City Capital,136%,Financial Services,13.67,Washington,KIRKLAND,Seattle,3
2778,Greenland America,136%,Business Products & Services,188.06,Georgia,Roswell,Atlanta,7
2779,Integrated Dermatology,136%,Health,107.91,Florida,Boca Raton,Miami,1
2780,Computer Overhauls,136%,Consumer Products & Services,4.79,New York,New York,New York,3
2781,Staylisted,136%,Advertising & Marketing,3.49,Arizona,Phoenix,Phoenix,2
2782,Validation Associates,136%,IT Management,12.04,Virginia,Herndon,"Washington,DC",2
2783,North Pacific Industries,136%,Business Products & Services,4.16,Washington,Kent,Seattle,2
2784,Whois API,136%,Business Products & Services,3.06,California,Walnut,Los Angeles,3
2785,Strike,136%,Energy,"1,697.57",Texas,Spring,Houston,10
2786,Corsis,136%,Software,5.12,New Jersey,Livingston,New York,3
2787,Techfino,135%,Business Products & Services,2.23,Pennsylvania,Philadelphia,Philadelphia,1
2788,ProConstruction,135%,Construction,12.42,Florida,Pensacola-FL,Pensacola,1
2789,Maximum Games,135%,Consumer Products & Services,58.73,California,Walnut Creek,San Francisco,5
2790,HSTpathways,135%,Software,14.45,California,Lafayette,San Francisco,1
