Category: All categories,,,,,
,,,,,
DMA,Gym: (1/1/18 - 7/14/20),Diet: (1/1/18 - 7/14/20),Bicycle: (1/1/18 - 7/14/20),Yoga: (1/1/18 - 7/14/20),Walking: (1/1/18 - 7/14/20)
Laredo TX,37%,29%,3%,11%,20%
Bakersfield CA,20%,38%,6%,14%,22%
Las Vegas NV,22%,34%,5%,17%,22%
Boston MA-Manchester NH,19%,29%,5%,28%,19%
Springfield-Holyoke MA,18%,31%,6%,24%,21%
Madison WI,15%,32%,7%,26%,20%
San Francisco-Oakland-San Jose CA,20%,27%,7%,30%,16%
New York NY,23%,29%,5%,25%,18%
Washington DC (Hagerstown MD),25%,29%,5%,23%,18%
Los Angeles CA,23%,30%,6%,23%,18%
Chicago IL,20%,32%,5%,22%,21%
El Paso TX,31%,31%,5%,14%,19%
Monterey-Salinas CA,21%,28%,7%,27%,17%
Yuma AZ-El Centro CA,26%,35%,6%,12%,21%
Mankato MN,16%,36%,6%,18%,24%
Miami-Ft. Lauderdale FL,23%,32%,7%,21%,17%
Harlingen-Weslaco-Brownsville-McAllen TX,33%,32%,5%,11%,19%
Lafayette IN,19%,33%,7%,19%,22%
